Объектные,Функциональные,Процессные,Ограничения,Структурные
Не опознано,Не опознано,Не опознано,Не опознано,Не опознано
Автоматическая установка пожаротушения (АУПТ),Автоматизация комплексная,Водозабор,Pазмещение,Библиография
Автоматичекий выключатель,Автоматизированная информационно-измерительная система коммерческого учёта электроэнергии (АИИС КУЭ),Генерация,Азот,Ведомость объемов
Автомобильная дорога,Автоматизированная система управления (АСУ),Дегидратация,Алгоритм выбора,Габаритные размеры
Автоцистерна,Автоматизированная система управления технологическим процессом (АСУ ТП),Демонтаж,Аэродинамический коэффициент,Глоссарий
Административно бытовой комплекс (АБК),Автоматизированная система управления энергоснабжением (АСУ Э),Деэтанизация,Броня,Компоновочные решения
Административно-бытовые здания (АБЗ),Автоматизированное рабочее место (АРМ),Диагностика,Вариант,Назначение
Азотная станция,Автоматическое секционирование ВЛ,Заземление,Вариативность,Область действия
Антикоррозионное изоляционное покрытие,"Антикоррозийная защита конструкций зданий, сооружений",Закачка,Вес,Обозначения и сокращения
Аппарат,"Антикоррозийная защита технологических аппаратов, трубопроводов",Заправка,Ветровая нагрузка,Ограничение по применению
Аппарат воздушного охлаждения (АВО),Архитектурно-строительные решения,Защита,Взрывозащита,Опросный лист
Аппарат колонный,Архитектурные решения,Измерение,Внешний (сервисный) байпас,Основные проектные решения (ОПР)
Артезианская скважина,Водоохранная зона,Испытание,Внешний вид,Перечень сигналов
Береговое сооружение,Водоснабжение и канализация,Комплектация,Вода,Период действия
Блок автоматики,Воздухоснабжение,Компримирование,Водный раствор,Пояснительная записка
Блок аккумуляторов,Газоснабжение,Контроль,Воздух,Предпроектная документация
Блок напорной гребенки (БНГ),Генеральный план,Маркировка,Время,Проект организации строительства (ПОС)
Блочная кустовая насосная станция (БКНС),Генерация энергии,Монтаж,Время автономной работы,Проектная документация 
Бочка,Гражданская оборона,Нагревание,Высота,Приложение
Вагон-дом,Защита территории от подтопления,Надзор,Газ,Рисунок
Вдольтрассовый проезд,Измерительная система,Налив,Гарантия,Сметная документация
Вертолетная площадка,Тепловая изоляция,Наращивание,Геосинтетика,Содержание
Внутриплощадочный проезд,Инженерная подготовка,Насыпь,Давление,Спецификация
Водоблок/градирня,Инженерные изыскания,Обвязка,Диаметр,Ссылка на ЛНД
Волоконно-оптическая линия связи (ВОЛС) ,Интерьер,Обезвоживание,Диаметр входного патрубка,Ссылка на НД
Выключатель,Комплексная система безопасности,Обессоливание,Диаметр выходного патрубка,Ссылка на рисунок
Газонаполнительная станция,Комплексная информационно-управляющая система (КИУС),Обогрев,Дизель,Ссылка на таблицу
Газоперекачивающий агрегат (ГПА),Конструктивные и объемно-планировочные решения,Обследование,Допуск,Ссылка на чертеж
Газопоршневая электростанция (ГПЭС),Конструкции строительные (обследования),Обслуживание,Исполнение,Ссылки
Газопровод,Локальная система управления (ЛСУ),Опытно-промышленные испытания (ОПИ),Катализатор,Степень защиты
Газораздаточная колонка,Метрология,Осушка,Кислота,Схема
Газораспределительная станция (ГРС),Мониторинг,Отбор,Климат,Таблица
Газораспределительный пункт,Наружные сети водоснабжения,Охлаждение,Климатические условия,Термины и определения
Газотурбинная электростанция (ГТЭС),Наружные сети связи и сигнализации,Очистка,Климатическое исполнение,Технико-экономические показатели
Головная насосная станция,Обследование мостовых переходов,Переключение,Конденсат,Технико-экономический расчет (ТЭР)
Горелочное устройство,"Отопление, вентиляция и кондиционирование",Подготовка,Коррозионная активность,Технико-экономическое обоснование (ТЭО)
Грузоподъемное оборудование,Охрана окружающей среды,Поиск,Коррозия,Технические решения
Делитель фаз,Охранная сигнализация,Покраска,Легковоспламеняющаяся жидкость (ЛВЖ),Технические требования
Детандер,Планировка,Преобразование,Марка стали,Технические условия
Диагностическое оборудование,Подготовительные работы,Прием,Материальное исполнение,Техническое задание
Дожимная компрессорная станция (ДКС),"Пожарная сигнализация (охранная, охранно-пожарная сигнализация)",Проба,Метанол,Требования
Дожимная насосная станция (ДНС),Пожаротушение,Проектирование,Многолетнемерзлый грунт (ММГ),Требования к обеспечению безопасной эксплуатации объектов капитального строительства
Ёмкость,Промышленная безопасность,Производство,Мощность,Условное обозначение
Закрытое распределительное устройство (ЗРУ),Пылеудаление,Пуск,Нагрузка,Чертеж
Звено наплавного (понтонного) моста (ЗПМ),"Радиосвязь, радиовещание, телевидение",Разведка,Напряжение,Энергоэффективность
Здание,Распределенная система управления (РСУ),Распределение,Наружная оболочка,
Здание (сооружение) объектов добычи природного газа и конденсата,Рекультивация нарушенных земель,Регенерация,Нефть,
Здание (сооружение) объектов переработки газа,Релейная защита,Регулирование,Номинальное давление,
Здание (сооружение) объектов поддержания пластового давления,Санитарно-защитная зона,Ремонт,Номинальный объем,
Здание жилое,"Сигнализация, централизация, блокировка",Сброс,Номинальный ток,
Извещатель,Система автоматического управления (САУ),Сварка,Нормативное требование,
Измерительная установка  скважинная групповая (ИУ),Система вентиляции и кондиционирования,Сепарация,Пластовая вода,
Источник бесперебойного питания (ИБП),Система видеонаблюдения,Снабжение,Принцип действия,
Камеры пуска и приема внутритрубных поточных средств очистки и диагностики,Система водоотведения,Типизация,Потери активной мощности,
Клеммная коробка,Система водоснабжения,Транспортирование,Производительность,
Колонна,Система водоснабжения и промышленной канализации,Укрепление,Пропант,
Комплектная трансформаторная подстанция (КТП),Система газоснабжения,Усиление,Рабочая среда,
Компрессор,Система измерений количества воды (СИКВ),Установка,Рабочее давление,
Компрессор винтовой,Система измерения количества и параметров газа (СИКГ),Утилизация,Разрешительная документация,
Компрессор поршневой,Система измерений количества и показателей качества нефти - коммерческий узел (СИКН),Учет,Разъединитель,
Компрессорная воздушная,Система измерений количества и показателей качества нефти - оперативный узел (СИКНС),Хранение,Расстояние,
Компрессорная станция,Система контроля и управления доступом (СКУД),Экспертиза,Раствор,
Компрессорно-конденсаторный агрегат,Система молниезащиты и заземления,Эксплуатация,Расход,
Компрессорный агрегат,Система оперативного постоянного тока,Энергоснабжение,Расход газа,
Компрессорный цех,Система оповещения и управления эвакуацией людей при пожаре (СОУЭ),,Расчет,
Конденсатор,Система освещения,,Расчет материалоемкости,
Контейнер,Система отопления и/или охлаждения,,Расчетное давление,
