id,file_id,Раздел,Документ,Объектные,Функциональные,Процессные,Ограничения,Структурные
0,0,ВВОДНЫЕ ПОЛОЖЕНИЯ,"НАЗНАЧЕНИЕ
Инструкция устанавливает единые требования к составу и содержанию раздела проектной документации «Требования к обеспечению безопасной эксплуатации объектов капитального строительства», при выполнении проектных работ объектов нового строительства, реконструкции, технического перевооружения и капитального ремонта действующих объектов наземного обустройства нефтяных, газовых, нефтегазовых, газоконденсатных, нефтегазоконденсатных месторождений.

Настоящая Инструкция разработана в соответствии с требованиями Градостроительного кодекса Российской Федерации от 29.12.2014 № 190-ФЗ и Положения о составе разделов проектной документации и требованиях к их содержанию, утвержденного постановлением Правительства РФ от 16.02.2008 № 87.

Настоящая Инструкция разработана в соответствии с требованиями нормативно-правовых актов РФ, а также требований локальных нормативных документов, регламентирующих подготовку проектной документации, проведения государственной экспертизы:
1. Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ.
2. Федеральный закон от 30.12.2009 № 384-ФЗ «Технический регламент о безопасности зданий и сооружений».
3. Федеральный закон от 22.07.2008 № 123-ФЗ «Технический регламент о требованиях пожарной безопасности».",Линейный объект;Площадочные объекты,Не опознано,Проектирование;Эксплуатация,Не опознано,Назначение;Проектная документация ;Ссылка на ЛНД;Ссылка на НД
1,0,ВВОДНЫЕ ПОЛОЖЕНИЯ,"ОБЛАСТЬ ДЕЙСТВИЯ
Настоящая Инструкция является обязательной для исполнения работниками задействованных в разработке и ведомственной экспертизе проектной продукции для объектов наземного обустройства нефтяных, газовых, нефтегазовых, газоконденсатных, нефтегазоконденсатных месторождений.

Действия настоящей Инструкции распространяется на проектирование объектов наземного обустройства нефтяных, газовых, нефтегазовых, газоконденсатных, нефтегазоконденсатных месторождений (объекты, обеспечивающие добычу, сбор, подготовку и транспортирование нефти; добычу, сбор, подготовку, транспортирование и использование газа; добычу, сбор, подготовку, транспортирование и использование конденсата, подготовку подтоварной и подпиточной воды; поддержание пластового давления, в т.ч. административно-бытовые здания, вахтовые жилые поселки, столовые, производственные базы, складские здания, котельные, пожарные депо и прочие объекты вспомогательного комплекса).
",Линейный объект;Площадочные объекты,Не опознано,Проектирование;Эксплуатация,Не опознано,Область действия;Ограничение по применению
2,0,ВВОДНЫЕ ПОЛОЖЕНИЯ,"ПЕРИОД ДЕЙСТВИЯ И ПОРЯДОК ВНЕСЕНИЯ ИЗМЕНЕНИЙ
Настоящая Инструкция является локальным нормативным документом постоянного действия.",Линейный объект;Площадочные объекты,Не опознано,Проектирование;Эксплуатация,Не опознано,Период действия
3,0,1. ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ,"ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ КОРПОРАТИВНОГО ГЛОССАРИЯ
ГАЗОВОЕ МЕСТОРОЖДЕНИЕ – месторождение углеводородного сырья, в котором доля природного газа, попутного нефтяного газа, либо газового конденсата или широких фракций легких углеводородов (смесь пропана бутана технических) в объеме добычи углеводородов суммарно за жизненный цикл проекта составляет более 50%.
ГАЗОКОНДЕНСАТНОЕ МЕСТОРОЖДЕНИЕ – одна или несколько газоконденсатных залежей, приуроченных к единой ловушке.
ЖИЗНЕННЫЙ ЦИКЛ ЗДАНИЯ ИЛИ СООРУЖЕНИЯ – период, в течение которого осуществляются инженерные изыскания, проектирование, строительство (в том числе консервация), эксплуатация (в том числе текущие ремонты), реконструкция, капитальный ремонт, снос здания или сооружения [Федеральный закон от 30.12.2009 № 384-ФЗ «Технический регламент о безопасности зданий и сооружений»].
ЗАВОД-ИЗГОТОВИТЕЛЬ – организация, изготавливающая продукцию и несущая ответственность за соответствие изделия требованиям технических условий.
ЗДАНИЕ – результат строительства, представляющий собой объемную строительную систему, имеющую надземную и (или) подземную части, включающую в себя помещения, сети инженерно-технического обеспечения и системы инженерно-технического обеспечения и предназначенную для проживания и (или) деятельности людей, размещения производства, хранения продукции или содержания животных [Федеральный закон от 30.12.2009 № 384-ФЗ «Технический регламент о безопасности зданий и сооружений»].
МЕХАНИЧЕСКАЯ БЕЗОПАСНОСТЬ – состояние строительных конструкций и основания здания или сооружения, при котором отсутствует недопустимый риск, связанный с причинением вреда жизни или здоровью граждан, имуществу физических или юридических лиц, государственному или муниципальному имуществу, окружающей среде, жизни и здоровью животных и растений вследствие разрушения или потери устойчивости здания, сооружения или их части [Федеральный закон от 30.12.2009 № 384-ФЗ «Технический регламент о безопасности зданий и сооружений»].
НАГРУЗКА – механическая сила, прилагаемая к строительным конструкциям и (или) основанию здания или сооружения и определяющая их напряженно-деформированное состояние [Федеральный закон от 30.12.2009 № 384-ФЗ «Технический регламент о безопасности зданий и сооружений»].
НЕФТЯНОЕ МЕСТОРОЖДЕНИЕ – месторождение, содержащее только нефть, насыщенную в различной степени газом.
НЕФТЕГАЗОВОЕ МЕСТОРОЖДЕНИЕ – месторождение, содержащее газовые залежи с нефтяной оторочкой, в котором нефтяная часть составляет по объему условного топлива менее 50%.
НЕФТЕГАЗОКОНДЕНСАТНОЕ МЕСТОРОЖДЕНИЕ – месторождение, содержащее нефть, газ и конденсат.
ОБЪЕКТ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА – здание, строение, сооружение, объекты, строительство которых не завершено, за исключением временных построек, киосков, навесов и других подобных построек.
ОПАСНЫЕ ПРИРОДНЫЕ ПРОЦЕССЫ И ЯВЛЕНИЯ – землетрясения, сели, оползни, лавины, подтопление территории, ураганы, смерчи, эрозия почвы и иные подобные процессы и явления, оказывающие негативные или разрушительные воздействия на здания и сооружения [Федеральный закон от 30.12.2009 № 384-ФЗ «Технический регламент о безопасности зданий и сооружений»].
ПРОЕКТНАЯ ДОКУМЕНТАЦИЯ – документация, содержащая материалы в текстовой форме и в виде карт (схем) и определяющая архитектурные, функционально-технологические, конструктивные и инженерно-технические решения для обеспечения строительства, реконструкции объектов капитального строительства, их частей, капитального ремонта, если при его проведении затрагиваются конструктивные и другие характеристики надежности и безопасности объектов капитального строительства.
ПОДРЯДНАЯ ОРГАНИЗАЦИЯ (ПОДРЯДЧИК) – физическое или юридическое лицо, которое выполняет работы по договору подряда, заключаемому с заказчиком в соответствии с Гражданским кодексом Российской Федерации. 
ПОМЕЩЕНИЕ – часть объема здания или сооружения, имеющая определенное назначение и ограниченная строительными конструкциями [Федеральный закон от 30.12.2009 № 384-ФЗ «Технический регламент о безопасности зданий и сооружений»].
ПОМЕЩЕНИЕ С ПОСТОЯННЫМ ПРЕБЫВАНИЕМ ЛЮДЕЙ – помещение, в котором предусмотрено пребывание людей непрерывно в течение более двух часов [Федеральный закон от 30.12.2009 № 384-ФЗ «Технический регламент о безопасности зданий и сооружений»].
ПРОЕКТИРОВЩИК – проектная организация, выполняющая собственными силами проектирование и/или инженерно-изыскательские работы по проектируемому объекту на основании договора с Заказчиком. 
СИСТЕМА ТИПОВОГО ПРОЕКТИРОВАНИЯ – комплекс организационно-технических мероприятий, процессов, методик, результатов, направленных на достижение оптимальной степени типизации, унификации объектов наземного обустройства нефтегазовых месторождений.
СООРУЖЕНИЕ – строительная система любого функционального назначения, в состав которой входят помещения, предназначенные в зависимости от функционального назначения для пребывания или проживания людей и осуществления технологических процессов.
СТРОИТЕЛЬСТВО – создание зданий, строений, сооружений (в том числе на месте сносимых объектов капитального строительства).",Линейный объект;Площадочные объекты,Не опознано,Проектирование;Эксплуатация,Не опознано,Термины и определения
4,0,1. ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ,"ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ ДЛЯ ЦЕЛЕЙ НАСТОЯЩЕГО ДОКУМЕНТА

ОБЪЕКТЫ ВСПОМОГАТЕЛЬНОГО КОМПЛЕКСА — объекты обеспечения инфраструктуры месторождений, в том числе административно-бытовые здания, вахтовые жилые поселки, столовые, спортивно-оздоровительные комплексы (спортивный корпус, спортивные помещения) и площадки (волейбольные, баскетбольные и теннисные), производственные базы с ремонтно–механическими мастерскими или  цехами, складские здания и открытые площадки складирования, котельные, пожарные депо, автозаправочные станции и прочие объекты вспомогательного назначения, за исключением линейных объектов.",Линейный объект;Площадочные объекты,Не опознано,Проектирование;Эксплуатация,Не опознано,Термины и определения
5,0,2. ОБОЗНАЧЕНИЯ И СОКРАЩЕНИЯ,"КИПиА – контрольно-измерительные приборы и автоматика.
КС – капитальное строительство
ПНР – пуско-наладочные работы.
СМР – строительно-монтажные работы.
ТЗ – техническое задание.",Линейный объект;Площадочные объекты,Не опознано,Проектирование;Эксплуатация,Не опознано,Обозначения и сокращения
6,0,3. ОБЩИЕ ПОЛОЖЕНИЯ,"До внесения соответствующих изменений в Положение о составе разделов проектной документации и требованиях к их содержанию, утвержденное постановлением Правительства РФ от 16.02.2008 № 87, раздел «Требования к обеспечению безопасной эксплуатации объектов капитального строительства» должен оформляться в соответствии с пунктом 32 Положения о составе разделов проектной документации и требованиях к их содержанию, утвержденного постановлением Правительства РФ от 16.02.2008 № 87.
В разделе «Требования к обеспечению безопасной эксплуатации объектов капитального строительства» должны быть предусмотрены:
1. Возможность безопасной эксплуатации проектируемого здания или сооружения и требования к способам проведения мероприятий по техническому обслуживанию, при проведении которых отсутствует угроза нарушения безопасности строительных конструкций, сетей инженерно-технического обеспечения и систем инженерно-технического обеспечения или недопустимого ухудшения параметров среды обитания людей.
2. Минимальная периодичность осуществления проверок, осмотров и освидетельствований состояния строительных конструкций, основания, сетей инженерно-технического обеспечения и систем инженерно-технического обеспечения здания или сооружения и (или) необходимость проведения мониторинга компонентов окружающей среды, состояния основания, строительных конструкций и систем инженерно-технического обеспечения в процессе эксплуатации здания или сооружения.
3. Сведения для пользователей и эксплуатационных служб о значениях эксплуатационных нагрузок на строительные конструкции, сети инженерно-технического обеспечения и системы инженерно-технического обеспечения, которые недопустимо превышать в процессе эксплуатации здания или сооружения.
4. Сведения о размещении скрытых электрических проводок, трубопроводов и иных устройств, повреждение которых может привести к угрозе причинения вреда жизни и здоровью людей, имуществу физических или юридических лиц, государственному или муниципальному имуществу, окружающей среде, жизни и здоровью животных и растений.

Проектная документация здания или сооружения должна использоваться в качестве основного документа при принятии решений об обеспечении безопасности здания или сооружения на всех последующих этапах жизненного цикла здания или сооружения.",Линейный объект;Площадочные объекты,Не опознано,Проектирование;Эксплуатация,Не опознано,Проектная документация ;Ссылка на НД;Требования
7,0,4. ТРЕБОВАНИЯ К СОСТАВУ И СОДЕРЖАНИЮ РАЗДЕЛА ПРОЕКТНОЙ ДОКУМЕНТАЦИИ «ТРЕБОВАНИЯ К ОБЕСПЕЧЕНИЮ БЕЗОПАСНОСТИ И ЭКСПЛУАТАЦИИ ОБЪЕКТОВ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА»,"Рекомендуемый состав и содержание раздела «Требования к обеспечению безопасной эксплуатации объектов капитального строительства» приведен в Приложении 1 к настоящей Инструкции.

В зависимости от специфики проектируемого объекта капитального строительства, требований задания на проектирование, при разработке раздела допустима детализация требований в формулировках, не противоречащих и не изменяющих основной смысл первоначальных формулировок, а также исключение некоторых подразделов и изменение их последовательности по усмотрению Проектировщика.",Линейный объект;Площадочные объекты,Не опознано,Проектирование;Эксплуатация,Не опознано,Требования
8,0,5. ССЫЛКИ,1.           Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ.,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
9,0,5. ССЫЛКИ,2.           Федеральный закон от 22.07.2008 № 123-ФЗ «Технический регламент о требованиях пожарной безопасности».,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
10,0,5. ССЫЛКИ,3.           Федеральный закон от 28.11.2011 № 337-ФЗ «О внесении изменений в Градостроительный кодекс Российской Федерации и отдельные законодательные акты Российской Федерации».,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
11,0,5. ССЫЛКИ,4.           Федеральный закон от 30.12.2009 № 384-ФЗ «Технический регламент о безопасности зданий и сооружений».,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
12,0,5. ССЫЛКИ,5.           Федеральный закон от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов».,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
13,0,5. ССЫЛКИ,6.           Приказ МЧС РФ от 28.02.2003 № 105 «Об утверждении Требований по предупреждению чрезвычайных ситуаций на потенциально опасных объектах и объектах жизнеобеспечения».,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
14,0,5. ССЫЛКИ,"7.           Положение о составе разделов проектной документации и требованиях к их содержанию, утвержденное постановлением Правительства РФ от 16.02.2008 № 87.",Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
15,0,5. ССЫЛКИ,"8.           ГОСТ 14857-76 Схемы защиты от опасных напряжений и токов, возникающих на линиях проводного вещания. Общие требования и нормы.",Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
16,0,5. ССЫЛКИ,"9.           ГОСТ 5238-81 Установки проводной связи. Схемы защиты от опасных напряжений и токов, возникающих на линиях. Технические требования.",Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
17,0,5. ССЫЛКИ,10.        СП 25.13330.2012 Основания и фундаменты на вечномерзлых грунтах. Актуализированная редакция СНиП 2.02.04-88.,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
18,0,5. ССЫЛКИ,11.        СП 42.13330.2011 Градостроительство. Планировка и застройка городских и сельских поселений. Актуализированная редакция СНиП 2.07.01-89*.,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
19,0,5. ССЫЛКИ,12.        СП 51.13330.2011 Защита от шума. Актуализированная редакция СНиП 23-03-2003.,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
20,0,5. ССЫЛКИ,13.        СНиП 3.01.04-87 Приемка в эксплуатацию законченных строительством объектов. Основные положения.,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
21,0,5. ССЫЛКИ,14.        МДК 3-02.2001 Правила технической эксплуатации систем и сооружений коммунального водоснабжения и канализации.,Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
22,0,5. ССЫЛКИ,"15.        Правила технической эксплуатации электроустановок потребителей, утвержденные  приказом Минэнерго РФ от 13.01.2003 № 6.",Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
23,0,5. ССЫЛКИ,"16.        Правила по охране труда при эксплуатации электроустановок, утвержденные приказом Минтруда России от 24.07.2013 № 328н.",Не опознано,Не опознано,Не опознано,Не опознано,Ссылка на НД;Ссылки
24,0,ПРИЛОЖЕНИЯ,"Таблица 1
Перечень Приложений к Инструкции",Не опознано,Не опознано,Не опознано,Не опознано,Приложение;Таблица
25,0,ПРИЛОЖЕНИЯ,ПРИЛОЖЕНИЕ 1. РЕКОМЕНДУЕМЫЙ СОСТАВ И СОДЕРЖАНИЕ РАЗДЕЛА «ТРЕБОВАНИЯ К ОБЕСПЕЧЕНИЮ БЕЗОПАСНОЙ ЭКСПЛУАТАЦИИ ОБЪЕКТОВ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА»,Не опознано,Не опознано,Не опознано,Не опознано,Приложение;Таблица;Требования
26,0,ПРИЛОЖЕНИЯ,"Таблица 2
Рекомендуемый состав и содержание раздела «Требования к обеспечению безопасной эксплуатации объектов капитального строительства»",Не опознано,Не опознано,Не опознано,Не опознано,Приложение;Таблица;Требования
